Timestamp (UTC),Relay State,T2 (F),T1 (F)
2026-08-07T13:30:00Z,1,107.85512,119.24804
2026-08-07T13:45:00Z,1,108.95,119.8945143
2026-08-07T14:00:00Z,1,109.48184,120.46244
2026-08-07T14:15:00Z,1,109.72964,120.7172
2026-08-07T14:30:00Z,1,110.2677286,121.0201571
2026-08-07T14:45:00Z,1,109.93988,120.72476
2026-08-07T15:00:00Z,1,110.27744,120.88256
2026-08-07T15:15:00Z,1,109.9704714,120.8590571
2026-08-07T15:30:00Z,1,109.50512,120.38012
2026-08-07T15:45:00Z,1,109.11476,119.78024
2026-08-07T16:00:00Z,1,109.3516571,119.8139
2026-08-07T16:15:00Z,1,110.13512,120.155
2026-08-07T16:30:00Z,1,110.11232,120.35012
2026-08-07T16:45:00Z,1,110.2196429,120.1037
2026-08-07T17:00:00Z,1,110.55464,120.515
2026-08-07T17:15:00Z,1,111.2,120.75512
2026-08-07T17:30:00Z,1,111.2243,121.3088
2026-08-07T17:45:00Z,1,110.07488,120.52232
2026-08-07T18:00:00Z,1,108.43256,119.00012
2026-08-07T18:15:00Z,1,108.8776143,118.8498714
2026-08-07T18:30:00Z,1,109.26524,119.21792
2026-08-07T18:45:00Z,1,110.07524,119.48012
2026-08-07T19:00:00Z,1,109.9947714,119.8304857
2026-08-07T19:15:00Z,1,109.1144,119.00768
2026-08-07T19:30:00Z,1,108.82292,118.75328
2026-08-07T19:45:00Z,1,108.9818857,118.8420286
2026-08-07T20:00:00Z,1,109.41464,118.50536
2026-08-07T20:15:00Z,1,109.18232,118.54256
2026-08-07T20:30:00Z,1,110.8787,119.6456
2026-08-07T20:45:00Z,1,111.49988,120.54512
2026-08-07T21:00:00Z,1,110.48744,118.91744
2026-08-07T21:15:00Z,1,108.9338,115.5875
2026-08-07T21:30:00Z,1,108.2972,117.63524
2026-08-07T21:45:00Z,1,108.44012,111.4022
2026-08-07T22:00:00Z,1,105.1570143,107.3509571
2026-08-07T22:15:00Z,1,103.30988,104.57744
2026-08-07T22:30:00Z,1,102.10268,102.85244
2026-08-07T22:45:00Z,1,101.1151143,101.5169
2026-08-07T23:00:00Z,1,99.70988,100.96244
